benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
scatterv,Enc,8,2097152,t_avg[usec],54233.26,54206.89,54014.44,54151.53
scatterv,Enc,8,4194304,t_avg[usec],109680.76,110350.84,109278.99,109770.19666666667
scatterv,Unenc,2,0,t_avg[usec],0.08,0.08,0.06,0.07333333333333333
scatterv,Unenc,2,2,t_avg[usec],27.11,23.22,23.69,24.673333333333332
scatterv,Unenc,2,4,t_avg[usec],27.61,23.0,23.37,24.66
scatterv,Unenc,2,8,t_avg[usec],28.18,22.96,23.6,24.913333333333334
scatterv,Unenc,2,16,t_avg[usec],29.74,23.38,23.87,25.663333333333334
scatterv,Unenc,2,32,t_avg[usec],31.06,23.67,24.09,26.273333333333333
scatterv,Unenc,2,64,t_avg[usec],32.45,25.51,24.95,27.636666666666667
scatterv,Unenc,2,128,t_avg[usec],33.32,27.36,27.05,29.243333333333332
scatterv,Unenc,2,256,t_avg[usec],35.65,36.32,30.91,34.29333333333334
scatterv,Unenc,2,512,t_avg[usec],39.01,39.78,34.22,37.67
scatterv,Unenc,2,1024,t_avg[usec],45.93,46.85,46.01,46.263333333333335
scatterv,Unenc,2,2048,t_avg[usec],60.36,60.78,59.72,60.28666666666667
scatterv,Unenc,2,4096,t_avg[usec],64.29,64.82,63.66,64.25666666666666
scatterv,Unenc,2,8192,t_avg[usec],84.84,85.58,86.49,85.63666666666667
scatterv,Unenc,2,16384,t_avg[usec],127.39,128.04,128.29,127.90666666666667
scatterv,Unenc,2,32768,t_avg[usec],202.06,203.02,203.31,202.79666666666668
scatterv,Unenc,2,65536,t_avg[usec],405.84,407.53,407.41,406.9266666666667
scatterv,Unenc,2,131072,t_avg[usec],697.48,699.52,699.32,698.7733333333333
scatterv,Unenc,2,262144,t_avg[usec],1795.9,1797.31,1795.87,1796.36
scatterv,Unenc,2,524288,t_avg[usec],3861.42,3863.29,3864.21,3862.9733333333334
scatterv,Unenc,2,1048576,t_avg[usec],8331.77,8335.86,8334.16,8333.93
scatterv,Unenc,2,2097152,t_avg[usec],17270.48,17262.07,17272.41,17268.32
scatterv,Unenc,2,4194304,t_avg[usec],35645.97,35664.25,35688.11,35666.11
scatterv,Unenc,4,0,t_avg[usec],0.09,0.08,0.1,0.09
scatterv,Unenc,4,2,t_avg[usec],31.33,28.2,28.89,29.473333333333333
scatterv,Unenc,4,4,t_avg[usec],30.36,28.61,28.83,29.266666666666666
scatterv,Unenc,4,8,t_avg[usec],31.15,29.03,29.03,29.736666666666668
scatterv,Unenc,4,16,t_avg[usec],30.65,28.85,29.16,29.553333333333335
scatterv,Unenc,4,32,t_avg[usec],31.3,28.46,29.52,29.76
scatterv,Unenc,4,64,t_avg[usec],32.44,29.77,30.22,30.81
scatterv,Unenc,4,128,t_avg[usec],33.82,32.03,31.67,32.50666666666667
scatterv,Unenc,4,256,t_avg[usec],38.74,37.91,36.28,37.64333333333333
scatterv,Unenc,4,512,t_avg[usec],47.84,48.04,43.91,46.596666666666664
scatterv,Unenc,4,1024,t_avg[usec],72.11,67.17,63.23,67.50333333333333
scatterv,Unenc,4,2048,t_avg[usec],106.15,105.96,102.49,104.86666666666666
scatterv,Unenc,4,4096,t_avg[usec],124.04,123.63,118.86,122.17666666666666
scatterv,Unenc,4,8192,t_avg[usec],180.43,180.25,175.93,178.87
scatterv,Unenc,4,16384,t_avg[usec],313.9,313.37,308.63,311.96666666666664
scatterv,Unenc,4,32768,t_avg[usec],604.93,604.39,598.35,602.5566666666666
scatterv,Unenc,4,65536,t_avg[usec],1207.16,1207.61,1206.98,1207.25
scatterv,Unenc,4,131072,t_avg[usec],2320.51,2311.19,2320.58,2317.4266666666667
scatterv,Unenc,4,262144,t_avg[usec],4906.38,4907.42,4899.05,4904.283333333334
scatterv,Unenc,4,524288,t_avg[usec],9896.06,9875.92,9868.73,9880.236666666666
scatterv,Unenc,4,1048576,t_avg[usec],20174.94,20151.55,20180.79,20169.093333333334
scatterv,Unenc,4,2097152,t_avg[usec],40595.67,40598.12,40683.36,40625.71666666667
scatterv,Unenc,4,4194304,t_avg[usec],80629.96,80735.75,80855.89,80740.53333333334
scatterv,Unenc,8,0,t_avg[usec],0.13,0.13,0.13,0.13
scatterv,Unenc,8,2,t_avg[usec],14.83,20.5,18.67,18.0
scatterv,Unenc,8,4,t_avg[usec],14.42,20.77,21.84,19.009999999999998
scatterv,Unenc,8,8,t_avg[usec],14.71,20.69,22.22,19.206666666666667
scatterv,Unenc,8,16,t_avg[usec],14.65,20.34,21.84,18.943333333333335
scatterv,Unenc,8,32,t_avg[usec],15.35,20.74,23.56,19.883333333333333
scatterv,Unenc,8,64,t_avg[usec],16.0,21.81,24.1,20.636666666666667
scatterv,Unenc,8,128,t_avg[usec],17.21,22.3,26.29,21.933333333333334
scatterv,Unenc,8,256,t_avg[usec],20.88,26.26,21.03,22.723333333333333
scatterv,Unenc,8,512,t_avg[usec],29.14,35.23,25.19,29.85333333333333
scatterv,Unenc,8,1024,t_avg[usec],48.99,43.16,41.45,44.53333333333333
scatterv,Unenc,8,2048,t_avg[usec],74.17,69.26,69.99,71.14
scatterv,Unenc,8,4096,t_avg[usec],85.06,85.2,80.17,83.47666666666667
scatterv,Unenc,8,8192,t_avg[usec],129.08,127.39,123.82,126.76333333333334
scatterv,Unenc,8,16384,t_avg[usec],220.56,215.46,214.22,216.74666666666667
scatterv,Unenc,8,32768,t_avg[usec],409.72,402.02,410.15,407.2966666666667
scatterv,Unenc,8,65536,t_avg[usec],1227.97,1241.57,1209.29,1226.2766666666666
scatterv,Unenc,8,131072,t_avg[usec],2244.51,2302.36,2303.04,2283.3033333333333
scatterv,Unenc,8,262144,t_avg[usec],5788.74,5792.44,5776.48,5785.886666666666
scatterv,Unenc,8,524288,t_avg[usec],11989.61,11969.53,11965.02,11974.720000000001
scatterv,Unenc,8,1048576,t_avg[usec],24558.31,24531.23,24617.48,24569.006666666668
scatterv,Unenc,8,2097152,t_avg[usec],49937.91,49974.15,50050.58,49987.54666666667
scatterv,Unenc,8,4194304,t_avg[usec],100457.99,100709.52,100872.78,100680.09666666666
