benchmark,environment,encryption,processes,run,class,size,iterations,time_seconds,total_processes,active_processes,mops_total,mops_per_process,operation_type,verification,source_file
CG,SGX,ENC,1,4,C,150000,75,138.14,1,1,1037.69,1037.69,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-1processes-4.csv
CG,SGX,ENC,1,5,C,150000,75,137.93,1,1,1039.31,1039.31,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-1processes-5.csv
CG,SGX,ENC,2,1,C,150000,75,60.00,2,2,2389.32,1194.66,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-2processes-1.csv
CG,SGX,ENC,2,2,C,150000,75,59.95,2,2,2391.15,1195.57,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-2processes-2.csv
CG,SGX,ENC,2,3,C,150000,75,59.94,2,2,2391.56,1195.78,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-2processes-3.csv
CG,SGX,ENC,2,4,C,150000,75,60.02,2,2,2388.36,1194.18,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-2processes-4.csv
CG,SGX,ENC,2,5,C,150000,75,60.64,2,2,2363.88,1181.94,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-2processes-5.csv
CG,SGX,ENC,4,1,C,150000,75,36.87,4,4,3887.71,971.93,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-4processes-1.csv
CG,SGX,ENC,4,2,C,150000,75,36.90,4,4,3884.31,971.08,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-4processes-2.csv
CG,SGX,ENC,4,3,C,150000,75,36.81,4,4,3894.77,973.69,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-4processes-3.csv
CG,SGX,ENC,4,4,C,150000,75,36.91,4,4,3884.14,971.03,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-4processes-4.csv
CG,SGX,ENC,4,5,C,150000,75,36.93,4,4,3881.14,970.28,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-4processes-5.csv
CG,SGX,ENC,8,1,C,150000,75,45.87,8,8,3125.38,390.67,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-8processes-1.csv
CG,SGX,ENC,8,2,C,150000,75,46.19,8,8,3103.77,387.97,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-8processes-2.csv
CG,SGX,ENC,8,3,C,150000,75,46.39,8,8,3089.76,386.22,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-8processes-3.csv
CG,SGX,ENC,8,4,C,150000,75,46.04,8,8,3113.41,389.18,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-8processes-4.csv
CG,SGX,ENC,8,5,C,150000,75,46.29,8,8,3096.54,387.07,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-ENC-8processes-5.csv
CG,SGX,UNENC,1,1,C,150000,75,137.31,1,1,1043.96,1043.96,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-1processes-1.csv
CG,SGX,UNENC,1,2,C,150000,75,138.04,1,1,1038.48,1038.48,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-1processes-2.csv
CG,SGX,UNENC,1,3,C,150000,75,138.43,1,1,1035.55,1035.55,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-1processes-3.csv
