These are breakdowns
rank is 4 host-name is poweredge-r650-8 all enc time is 0.035038s
rank is 4 host-name is poweredge-r650-8 all dec time is 0.018563s
rank is 4 host-name is poweredge-r650-8 key distribution time is 0.000000s
rank is 4 host-name is poweredge-r650-8 Init crypt time is 0.000000s

rank is 4 host-name is poweredge-r650-8 waitall avr time is 0.001706s
MY_HOSTNAME is poweredge-r650-9
These are breakdowns
rank is 7 host-name is poweredge-r650-9 send time is 0.000025s
rank is 7 host-name is poweredge-r650-9 recv time is 0.000000s
rank is 7 host-name is poweredge-r650-9 isend time is 0.006542s
rank is 7 host-name is poweredge-r650-9 irecv time is 0.000399s
rank is 7 host-name is poweredge-r650-9 wait time is 0.013904s
rank is 7 host-name is poweredge-r650-9 waitall time is 0.566137s
rank is 7 host-name is poweredge-r650-9 bcast time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoall time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoallv time is 0.000000s
rank is 7 host-name is poweredge-r650-9 reduce time is 0.000054s
rank is 7 host-name is poweredge-r650-9 allreduce time is 0.360533s
rank is 7 host-name is poweredge-r650-9 all comm time is 0.947593s

rank is 7 host-name is poweredge-r650-9 send enc time is 0.000022s
rank is 7 host-name is poweredge-r650-9 recv dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 isend enc time is 0.000022s
rank is 7 host-name is poweredge-r650-9 irecv dec time is 0.011729s
rank is 7 host-name is poweredge-r650-9 bcast enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 bcast dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoall enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoall dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 allgather enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 allgather dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoallv enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 alltoallv dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 reduce enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 reduce dec time is 0.000000s
